"sample_a","sample_b","kinship"
"IRIS_313-10875","IRIS_313-8458",-0.303810570265892
"IRIS_313-10876","IRIS_313-8458",-0.277406745550001
"IRIS_313-10877","IRIS_313-8458",-0.296105873968798
"IRIS_313-10878","IRIS_313-8458",-0.293267743107414
"IRIS_313-10879","IRIS_313-8458",-0.0964531234024187
"IRIS_313-10883","IRIS_313-8458",-0.227717985553244
"IRIS_313-10888","IRIS_313-8458",-0.233841001171736
"IRIS_313-10893","IRIS_313-8458",-0.277477584058897
"IRIS_313-10894","IRIS_313-8458",-0.0783200972359118
"IRIS_313-10895","IRIS_313-8458",-0.272936933769562
"IRIS_313-10897","IRIS_313-8458",0.312028570051637
"IRIS_313-11041","IRIS_313-8458",0.0463417563208289
"IRIS_313-11152","IRIS_313-8458",0.185859346170658
"IRIS_313-11155","IRIS_313-8458",-0.16220387980218
"IRIS_313-11156","IRIS_313-8458",-0.143200511306401
"IRIS_313-11161","IRIS_313-8458",-0.218312997084817
"IRIS_313-11164","IRIS_313-8458",-0.307794488030888
"IRIS_313-11165","IRIS_313-8458",-0.199441498767233
"IRIS_313-11166","IRIS_313-8458",-0.169253722996804
"IRIS_313-11167","IRIS_313-8458",0.140756852554675
"IRIS_313-11168","IRIS_313-8458",-0.287445883915627
"IRIS_313-11169","IRIS_313-8458",-0.283470426504715
"IRIS_313-11170","IRIS_313-8458",-0.29778699315788
"IRIS_313-11171","IRIS_313-8458",-0.216503851475641
"IRIS_313-11172","IRIS_313-8458",-0.305987404267117
"IRIS_313-11173","IRIS_313-8458",-0.278593434648224
"IRIS_313-11174","IRIS_313-8458",-0.316289728780429
"IRIS_313-11175","IRIS_313-8458",-0.321758581186413
"IRIS_313-11176","IRIS_313-8458",0.163205483309706
"IRIS_313-11197","IRIS_313-8458",0.227817197870637
"IRIS_313-11198","IRIS_313-8458",-0.196658631016519
"IRIS_313-11200","IRIS_313-8458",0.400141692388404
"IRIS_313-11245","IRIS_313-8458",0.490553351636416
"IRIS_313-11247","IRIS_313-8458",0.15563337754415
"IRIS_313-11255","IRIS_313-8458",0.281146097909795
"IRIS_313-11257","IRIS_313-8458",0.081700340037209
"IRIS_313-11265","IRIS_313-8458",-0.274370498499995
"IRIS_313-11274","IRIS_313-8458",-0.17405358632984
"IRIS_313-11275","IRIS_313-8458",0.30277249431533
"IRIS_313-11276","IRIS_313-8458",0.202246944626447
"IRIS_313-11277","IRIS_313-8458",-0.0898859840799271
"IRIS_313-11281","IRIS_313-8458",0.213607430894103
"IRIS_313-11283","IRIS_313-8458",0.263770470116677
"IRIS_313-11290","IRIS_313-8458",0.0710297867794333
"IRIS_313-11291","IRIS_313-8458",-0.277085576638357
"IRIS_313-11298","IRIS_313-8458",-0.303188781634162
"IRIS_313-11299","IRIS_313-8458",0.309197707116289
"IRIS_313-11302","IRIS_313-8458",0.288344145322556
"IRIS_313-11303","IRIS_313-8458",0.293264339683315
"IRIS_313-11304","IRIS_313-8458",0.339431805139516
"IRIS_313-11306","IRIS_313-8458",0.27627823180144
"IRIS_313-11309","IRIS_313-8458",0.27696726392905
"IRIS_313-11348","IRIS_313-8458",-0.255795660618819
"IRIS_313-11355","IRIS_313-8458",0.0566407492227626
