"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"IRIS_313-11303",-0.0692877449728299,-0.00766921652510149,-0.00672830534823318,0.141693020040045,-0.008117121732547,0.0425123406865247
"IRIS_313-11304",-0.0932656185236699,0.00013658624897829,-0.0233486158544793,0.181820428601365,-0.0674782877845686,0.0840408802066517
"IRIS_313-11306",-0.0936524966151277,-0.00416830423866764,0.00152801899017232,0.190720873716589,-0.0499246702168372,-0.0599533685421494
"IRIS_313-11309",-0.0896175893927333,-0.00491111892890148,-0.00669439688705844,0.174513076176419,-0.0513239302430888,0.0528972238076297
"IRIS_313-11348",0.0866516951049391,-0.065050762041422,-0.0143839410681785,0.0553141739873327,0.189317797137811,-0.0083832546612332
"IRIS_313-11355",-0.0296324991293528,-0.0270284728877834,0.247407650873077,-0.112562356010289,0.0255856024943197,-0.0879211376266034
"IRIS_313-11358",-0.0872064931211123,-0.00529495083336468,-0.0620792018658381,0.0257068895638823,-0.0107539386915817,0.136115390248395
"IRIS_313-11371",0.0966543806539118,-0.0809830200541397,-0.0170998331933971,-0.0129935708710191,0.0901679375542469,0.0428427451246368
"IRIS_313-11374",0.099649075029139,-0.0731186120054726,0.00906457078756559,-0.0178886868018675,0.00315398648675619,0.00259623661934049
"IRIS_313-11408",-0.0884983672071847,-0.0173054631927174,-0.123618476807689,-0.0708541473310702,-0.000413396159562018,0.00287875839234071
"IRIS_313-11414",-0.0794404013701616,-0.00968798434987318,-0.033347901303537,-0.0523609485170378,0.0189513773661721,-0.0218439795602714
"IRIS_313-11433",-0.102869403821935,0.00063339544254834,0.2753838034484,-0.126754431350486,0.052833092394953,-0.130600408268998
"IRIS_313-11445",-0.085592216259789,-0.0183288297024134,-0.113095676841965,-0.0592921057263382,0.00329685081736495,0.0185881062728047
"IRIS_313-11447",-0.0977268319530934,-0.00660761732978294,-0.0246391727606155,0.178408572479185,-0.0606129340375557,0.0684876425801491
"IRIS_313-11452",0.0544536371323257,-0.0369130601466499,-0.0369047357132734,-0.03920238155701,0.0725745826632491,-0.0169798291142934
"IRIS_313-11453",-0.0741655510807884,-0.020937649851478,-0.108225589265464,-0.0574497291586195,0.0149800172589749,-0.0282768099420144
"IRIS_313-11454",0.0934939216802545,-0.0656840909373654,0.010858884460077,-0.0200121095807355,-0.0155782320270777,-0.0108253056124688
"IRIS_313-11455",0.0847354527937357,-0.0435394264044951,-0.0136959030094852,-0.00307182492320949,0.116758320245483,-0.007442015799069
"IRIS_313-11458",0.0850891298076024,-0.0609682200889708,-0.0245335250003609,0.032380854880468,0.216756213543262,-0.000977602848798166
"IRIS_313-11462",0.0974375384866321,-0.0755807939004116,0.0149825337320426,-0.0167904853736393,-0.0745864946077424,-0.00419531686973218
"IRIS_313-11476",0.0398625568336242,-0.0331439539961039,-0.0326205265453478,-0.0586453002649181,-0.00337280320902862,-0.0328104213777252
"IRIS_313-11477",0.0923250208603714,-0.0471507805535919,-0.00207061329445961,-0.0244768421824225,0.065381230522803,-0.0218021936783565
"IRIS_313-11479",0.0520068643466161,0.169762282260615,-0.00231483294592009,0.00517918098948674,0.00831295983368716,-0.00434839474810843
"IRIS_313-11489",0.0609490523208743,-0.0458211885605873,0.0118432015036347,-0.0152561037660244,-0.0500721739561113,0.038480844617841
"IRIS_313-11491",-0.0978440754805756,-0.0187760032908765,-0.130270422070132,-0.0769324811958845,-2.88767648308258e-06,-0.00115481140315448
"IRIS_313-11493",-0.0872767945949963,0.00323998977748507,0.0495019056722252,0.0992166675566077,-0.021288670968906,0.207501778962131
"IRIS_313-11494",0.0704525552371069,0.213838453573475,-0.0143979896529959,-0.0123874542027275,-0.00795856211672991,-0.0249433502235768
"IRIS_313-11596",-0.0233286452131468,-0.027404710303676,0.237211772384807,-0.125755063756989,0.0122033449034502,-0.125244213172004
