"sample_a","sample_b","distance"
"IRIS_313-11737","IRIS_313-8458",0.36695726132256
"IRIS_313-11738","IRIS_313-8458",0.288352816153029
"IRIS_313-11742","IRIS_313-8458",0.369292310311077
"IRIS_313-11828","IRIS_313-8458",0.300192595762893
"IRIS_313-11913","IRIS_313-8458",0.37376894750364
"IRIS_313-11917","IRIS_313-8458",0.363766444558346
"IRIS_313-11918","IRIS_313-8458",0.273732434694507
"IRIS_313-11919","IRIS_313-8458",0.288805208067399
"IRIS_313-11937","IRIS_313-8458",0.278897297297297
"IRIS_313-11963","IRIS_313-8458",0.363484660476659
"IRIS_313-12052","IRIS_313-8458",0.296135224302669
"CX151","IRIS_313-8621",0.37396606122623
"IRIS_313-8458","IRIS_313-8621",0.257520176082172
"IRIS_313-8621","IRIS_313-8621",0
"IRIS_313-8731","IRIS_313-8621",0.270815774298008
"IRIS_313-8754","IRIS_313-8621",0.262522302972279
"IRIS_313-8924","IRIS_313-8621",0.273534899499618
"IRIS_313-8982","IRIS_313-8621",0.291275338914623
"IRIS_313-9023","IRIS_313-8621",0.229769214482321
"IRIS_313-9351","IRIS_313-8621",0.288845217242705
"IRIS_313-9400","IRIS_313-8621",0.244920847172497
"IRIS_313-9522","IRIS_313-8621",0.219756160384648
"IRIS_313-9604","IRIS_313-8621",0.24960636622835
"IRIS_313-9605","IRIS_313-8621",0.239459299122844
"IRIS_313-9611","IRIS_313-8621",0.268957548784663
"IRIS_313-10148","IRIS_313-8621",0.249601996471753
"IRIS_313-10150","IRIS_313-8621",0.379263363458831
"IRIS_313-10531","IRIS_313-8621",0.292986323555876
"IRIS_313-10534","IRIS_313-8621",0.38037474507138
"IRIS_313-10543","IRIS_313-8621",0.373277985585257
"IRIS_313-10544","IRIS_313-8621",0.273136355917813
"IRIS_313-10608","IRIS_313-8621",0.383664021164021
"IRIS_313-10666","IRIS_313-8621",0.257488576747335
"IRIS_313-10671","IRIS_313-8621",0.285912368275097
"IRIS_313-10675","IRIS_313-8621",0.28125397431006
"IRIS_313-10676","IRIS_313-8621",0.325555650174572
"IRIS_313-10754","IRIS_313-8621",0.247247374909663
"IRIS_313-10833","IRIS_313-8621",0.266625193066758
"IRIS_313-10834","IRIS_313-8621",0.37833007064431
"IRIS_313-10835","IRIS_313-8621",0.276891077341031
"IRIS_313-10836","IRIS_313-8621",0.274812254650964
"IRIS_313-10849","IRIS_313-8621",0.37376632332026
"IRIS_313-10850","IRIS_313-8621",0.330574138369041
"IRIS_313-10852","IRIS_313-8621",0.382143309012695
"IRIS_313-10853","IRIS_313-8621",0.377229755742824
"IRIS_313-10857","IRIS_313-8621",0.316511627906977
"IRIS_313-10859","IRIS_313-8621",0.303260270487981
"IRIS_313-10861","IRIS_313-8621",0.374673299047298
"IRIS_313-10862","IRIS_313-8621",0.376695225384251
"IRIS_313-10865","IRIS_313-8621",0.37777585385914
"IRIS_313-10866","IRIS_313-8621",0.380548864418445
"IRIS_313-10867","IRIS_313-8621",0.378613588384818
"IRIS_313-10869","IRIS_313-8621",0.378604790675751
