"sample","PC1","PC2","PC3","PC4","group"
"B123",0.0112918047764322,-0.00796726205007803,0.00285051173143081,0.00160067499310708,"3K-RGP reference (unlabelled)"
"B124",-0.015344222437761,-0.00623190180310522,0.0306098814520667,0.00063495973291778,"3K-RGP reference (unlabelled)"
"B125",0.0121275057955901,-0.00856428114453958,0.00396936796480292,0.00202594492584785,"3K-RGP reference (unlabelled)"
"B126",0.012517417928582,-0.00881732094214078,0.00520647831364317,0.00296789783272844,"3K-RGP reference (unlabelled)"
"B127",0.0129973193448421,-0.00893119494441035,0.00500662101971244,0.00303941130774103,"3K-RGP reference (unlabelled)"
"B128",0.00708394301229973,-0.00809927989240529,0.0020324922307424,0.00306044624003171,"3K-RGP reference (unlabelled)"
"B129",0.0128141090331698,-0.0082719872995717,0.00200008249470027,0.000632625473450643,"3K-RGP reference (unlabelled)"
"B130",0.0103311648088665,-0.00758492718953179,0.0037091416127561,0.00271084335534104,"3K-RGP reference (unlabelled)"
"B131",0.012744370666101,-0.00759621581645878,0.00216927088594457,-0.000975063243313961,"3K-RGP reference (unlabelled)"
"B132",0.00835590772560671,-0.00737195933688129,0.00563576869642827,-0.00104712895376449,"3K-RGP reference (unlabelled)"
"B133",0.0112666148068502,-0.00537593259655845,0.00198472162191375,0.00112027300339724,"3K-RGP reference (unlabelled)"
"B134",-0.0272313041959703,-0.00416743408326336,0.00507151761572704,-0.0029460928261748,"3K-RGP reference (unlabelled)"
"B135",0.0120091779950189,-0.00772706494664567,0.00315732026425824,-0.000963991529959438,"3K-RGP reference (unlabelled)"
"B136",-0.0274627857690245,-0.004956146417306,0.0250069262575393,-0.00363725839116062,"3K-RGP reference (unlabelled)"
"B137",0.0102125067101867,-0.00809698052656498,0.00356227125695793,0.00175726726831448,"3K-RGP reference (unlabelled)"
"B138",0.00954920410856241,-0.00661039434369661,-0.00100972894826425,0.00313829348722753,"3K-RGP reference (unlabelled)"
"B139",0.00919352281167121,-0.00807714508609483,0.00517093015964596,0.00118903932876194,"3K-RGP reference (unlabelled)"
"B140",0.0133322974445289,-0.00829758900769021,0.00227845612547704,0.00379626556826798,"3K-RGP reference (unlabelled)"
"B141",-0.00537002973125994,-0.00752200574689795,0.0203149123354524,0.00164584031367323,"3K-RGP reference (unlabelled)"
"B142",-0.0132860617960087,-0.00746775161481308,0.0335722765558959,0.00101755021490984,"3K-RGP reference (unlabelled)"
"B143",-0.0151722505486888,-0.00718729048608607,0.0346789566444111,0.00204735496451077,"3K-RGP reference (unlabelled)"
"B144",-0.022873158016442,-0.00523525317937098,0.0153117449877103,0.00248469252200173,"3K-RGP reference (unlabelled)"
"B145",0.00855561204531514,-0.00668915552210533,0.00464971822281124,0.000678351429288507,"3K-RGP reference (unlabelled)"
"B146",0.0123042427511203,-0.00875070291177735,0.00248376685181814,0.00232249547585391,"3K-RGP reference (unlabelled)"
"B147",0.0107038685113638,-0.00836102804707309,0.00457649543892917,0.00258226926692295,"3K-RGP reference (unlabelled)"
"B148",-0.0268083131793663,-0.00472991943647294,0.0251306934868495,-0.00468220831049551,"3K-RGP reference (unlabelled)"
"B149",0.0143020895298021,-0.00866235388158336,0.00193975964886597,0.00265127805629393,"3K-RGP reference (unlabelled)"
"B150",0.011271300999893,-0.00807940930682133,0.00542723279542256,0.00195848613724108,"3K-RGP reference (unlabelled)"
"B151",0.0129260711575352,-0.00857146478080839,0.00186677939494997,0.00183780917682112,"3K-RGP reference (unlabelled)"
